,start_port,end_port,start_region,end_region,start_loc_lat,start_loc_lon,end_loc_lat,end_loc_lon,start_time,end_time,route,route_name,ME_CO2,AE_CO2,ae_consumption,me_consumption,draft,sog,stw,power,rpm,rudder_angle,trim,wind_direction,wind_speed,GPS_distance,sog_distance,IMO_ME_consump,IMO_pilot_consump,IMO_aux_consump,IMO_boiler_consump,IMO_ME_CO2,IMO_pilot_CO2,IMO_aux_CO2,IMO_boiler_CO2,IMO_CO2_consump,desmo_CO2
0,Australia: Burnie,Australia: Portland,nan,nan,-41.05,145.91,-38.35,141.62,2018-12-21 08:10:00,2018-12-22 05:35:00,Australia: Burnie->Australia: Portland,,52336992.598075,6551545.794135901,2.2265250178409093,18.297374248863637,8.787785814886362,12.236165649055634,12.49968418687731,3.949324337718615,86.61009813235931,3.166674934507576,1.5078458518939393,203.61439393939392,13.932097709826179,265.32441424124767,269.6867410157324,19582887.170978118,0.0,1197300.0,40800.0,60981110.650425866,0.0,3838543.800000001,127051.2,64946705.65042585,70571825.0620114
1,Australia: Portland,China: Fangcheng,nan,North East Asia,-38.35,141.62,21.38,108.55,2018-12-28 20:15:00,2019-01-18 08:40:00,Australia: Portland->China: Fangcheng,,627639670.8068732,102960136.78420374,2.333700164269584,14.646334449445208,10.652768537469582,10.06467359888411,10.435473370335815,3.1333275498443474,80.23936850337172,1.882624082044477,0.4101491038624885,167.47915518824612,12.602725519287725,4931.303639844796,4427.819017947477,252087096.97008383,0.0,30907500.0,4284000.0,784999219.9648411,0.0,99089445.00000001,13340376.0,897429040.9648411,896903026.3454247
2,Singapore: Tanjong Pagar,United States of America: Galveston,South East Asia,North East America,1.25,103.89,29.31,-94.81,2019-02-04 13:45:00,2019-03-18 08:00:00,Singapore: Tanjong Pagar->United States of America: Galveston,,2365389940.3436956,343491379.4100903,2.561110996690259,18.15824044853879,5.981085852139297,13.230409424751558,12.762444579864903,3.9564227551606965,87.93337877829838,0.9558542345015123,3.4661753474961268,112.26071723208177,11.45710058577334,13268.544979323067,13283.192134514722,847543724.2330316,0.0,51454650.0,329800.0,2639251157.2616606,0.0,164963607.89999998,1026997.1999999998,2805241762.3616605,3387144158.351022
3,United States of America: Galveston,United States of America: Shawano,North East America,North East America,29.31,-94.81,28.82,-89.37,2019-03-19 23:45:00,2019-03-21 04:25:00,United States of America: Galveston->United States of America: Shawano,,64996598.75260518,8120798.362424305,2.0274032285317465,16.698271377722218,5.528773448273809,11.670449954473005,11.887866712349302,3.726642924910353,82.52316091750602,1.4964794835234128,4.242430925753968,64.29801587301588,10.582835744549412,344.0881155202299,349.86499734179773,17962564.502072524,0.0,1764750.0,166600.0,55935425.85945384,0.0,5657788.500000001,518792.39999999997,62112006.75945385,72686530.54965672
4,United States of America: Shawano,United States of America: Shawano,North East America,North East America,28.82,-89.37,29.22,-89.29,2019-03-25 23:10:00,2019-03-26 02:45:00,United States of America: Shawano->United States of America: Shawano,port_activity,6650058.232512499,1047851.8501480556,1.9610452591666667,12.813214320833334,5.643710213541667,7.821819643220307,10.479738843548066,2.6634424356666666,68.62598740083332,1.5915587368333335,4.28944873875,243.5583333333333,10.412583852962733,28.88672207380988,31.287278572881227,837539.1542903075,0.0,530400.0,163200.0,2608096.926460018,0.0,1700462.4,508204.8,4816764.126460018,4078598.8565034983
5,United States of America: Shawano,United States of America: Alliance,North East America,North East America,29.22,-89.29,29.72,-89.99,2019-03-26 12:40:00,2019-03-26 18:55:00,United States of America: Shawano->United States of America: Alliance,,15604322.949258124,1895159.2021930553,2.0267276023809524,17.180647342976194,5.598749838690476,8.062750670425638,12.53472181759238,3.8085018925000007,85.05184057142857,1.1006186163095237,4.3062222154761916,53.32142857142857,10.83528818192933,51.14218537276946,56.43925469297946,1504011.538351929,0.0,928200.0,285600.0,4683491.930427907,0.0,2975809.2,889358.3999999999,8548659.530427907,7433743.4721139865
6,United States of America: Alliance,United States of America: Avondale,North East America,North East America,29.72,-89.99,29.94,-90.22,2019-03-30 10:10:00,2019-03-30 16:20:00,United States of America: Alliance->United States of America: Avondale,,9899977.5301525,1993284.1247647223,2.131664690952381,10.900057836666665,5.506431118214286,5.801119640607429,10.679365053393523,2.0166892047619047,56.243228217857144,2.5957533269791666,4.313148429761904,162.28571428571428,7.588797680318742,38.312989257019474,40.607837484252,725881.2842297923,0.0,844350.0,289000.0,2260394.3190915734,0.0,2706986.1,899946.0,5867326.419091573,4265053.280282486
7,United States of America: Avondale,United States of America: Braithwaite,North East America,North East America,29.94,-90.22,29.79,-89.86,2019-04-05 23:20:00,2019-04-06 02:25:00,United States of America: Avondale->United States of America: Braithwaite,,3474132.007637083,1144822.3396902315,2.2031908910416664,6.973443244166668,8.441149476666666,9.462976366460712,6.261916396556507,1.4801902370416666,46.65310078720238,1.0880763083125,1.243465863611111,227.94305555555556,1.8390616555188868,31.320087749823465,37.85190546584285,2398861.7323915744,0.0,366600.0,81600.0,7470055.434667363,0.0,1175319.6,254102.4,8899477.434667364,7376242.697235933
8,United States of America: Braithwaite,Panama: Colon,North East America,nan,29.79,-89.86,9.44,-79.93,2019-04-12 12:05:00,2019-04-17 18:55:00,United States of America: Braithwaite->Panama: Colon,,272751988.86182934,45199997.10910506,2.66421165857194,16.552277658917323,8.047327453041635,11.444353223009724,11.78050972510205,3.638742688341513,84.63677230181987,2.5880197323337506,1.7926813538236697,105.56654736339775,13.805764396677018,1453.0738125581108,1453.3579354705546,88336977.24372894,0.0,7831200.0,693600.0,275081347.13697183,0.0,25106827.2,2159870.4,302348044.736972,328985069.7373453
9,Panama: Colon,Panama: Colon,nan,nan,9.44,-79.93,9.37,-79.93,2019-04-18 14:10:00,2019-04-18 15:10:00,Panama: Colon->Panama: Colon,port_activity,1032599.5372825,674108.732395,2.52317679,3.9791889683333332,8.623309905833333,4.0283575085712,3.95084556676,0.6638299922222222,35.454148333333336,5.744612594666667,0.21854405833333368,32.15,9.136048055075467,5.276548177985431,8.0567150171424,119262.71271889641,0.0,181350.0,85000.0,371384.0874066434,0.0,581408.1,264690.0,1217482.1874066433,846879.3174356653
