,start_port,end_port,start_region,end_region,start_loc_lat,start_loc_lon,end_loc_lat,end_loc_lon,start_time,end_time,route,route_name,ME_CO2,AE_CO2,ae_consumption,me_consumption,draft,sog,stw,power,rpm,rudder_angle,trim,wind_direction,wind_speed,GPS_distance,sog_distance,IMO_ME_consump,IMO_pilot_consump,IMO_aux_consump,IMO_boiler_consump,IMO_ME_CO2,IMO_pilot_CO2,IMO_aux_CO2,IMO_boiler_CO2,IMO_CO2_consump,desmo_CO2
0,Australia: Port Pirie,Australia: Townsville,nan,nan,-33.15,137.97,-19.25,146.83,2018-12-22 20:30:00,2018-12-30 14:45:00,Australia: Port Pirie->Australia: Townsville,,496818466.144035,74935978.37146361,3.0003885063368982,20.463704088454545,5.746888450543672,12.387475823961148,13.044346439034841,3.8766749437664867,91.26152812388237,0.2889614655529033,2.382028205650624,125.1385918003565,13.828751487720025,2313.1654600354664,2317.48631003222,132317363.61918882,0.0,12099750.0,1349800.0,412036270.31015396,0.0,38791798.5,4203277.2,455031346.010154,584587524.6011007
1,Australia: Townsville,Australia: Gladstone,nan,nan,-19.25,146.83,-23.87,151.57,2019-01-01 20:30:00,2019-01-03 05:35:00,Australia: Townsville->Australia: Gladstone,,83214220.29610094,14006947.320765974,3.0839853188725486,18.863021715085786,6.904372641421569,12.400829177474451,12.028469999615593,3.409353954301471,86.83707881740195,1.4434316520073531,2.6430258703431373,108.59436274509802,16.37649469552784,417.293961711993,421.62819203413136,26981657.946241427,0.0,1887600.0,81600.0,84020882.84459579,0.0,6051645.600000001,254102.4,90326630.84459579,113302852.56082216
2,Australia: Gladstone,Australia: Gladstone,nan,nan,-23.87,151.57,-23.82,151.25,2019-01-06 19:55:00,2019-01-06 22:20:00,Australia: Gladstone->Australia: Gladstone,port_activity,3880275.4433790003,1763798.97983625,3.30093383625,7.476445940999999,7.216227168333333,7.4691494299345065,6.950821543185386,1.382004168108333,47.84462267833333,1.9030299316041668,2.2331709625,107.64583333333333,14.781202138326599,22.275876800343223,29.876597719738026,1103794.7672578807,0.0,364650.0,125800.0,3437216.9052410405,0.0,1169067.9,391741.19999999995,4998026.00524104,5191694.7919768235
3,Australia: Gladstone,Australia: Hobart,nan,nan,-23.82,151.25,-42.93,147.39,2019-01-07 18:15:00,2019-01-12 12:15:00,Australia: Gladstone->Australia: Hobart,,215031705.4888179,45818381.36219328,2.983859624227054,14.328796943527294,9.539139481509661,11.853209322511765,10.906985818690416,2.6408402871845413,80.61507280193236,2.605732955756966,0.41713843727053146,102.91038647342994,15.960720009395937,1359.2192909747946,1367.519061857329,103744604.32387383,0.0,6893250.0,574600.0,323060697.86454314,0.0,22099759.500000004,1789304.4,346949761.7645431,376879882.328563
4,Australia: Hobart,Australia: Hobart,nan,nan,-42.93,147.39,-42.83,147.32,2019-01-12 22:20:00,2019-01-12 23:40:00,Australia: Hobart->Australia: Hobart,port_activity,992713.1272658333,815600.0683355324,3.052776300694444,3.8254841127777777,9.952260362152778,5.092349344378578,5.07686570651296,0.6734896370833334,31.913627659722223,1.0878822629027776,0.02191682430555541,305.1736111111111,2.6147347791276667,6.965181195649393,10.184698688757155,167767.9877980097,0.0,265200.0,81600.0,522429.5140030022,0.0,850231.2,254102.4,1626763.114003002,898897.1647752933
5,Australia: Hobart,Australia: Port Bonython,nan,nan,-42.83,147.32,-33.11,137.75,2019-01-14 10:00:00,2019-01-17 18:25:00,Australia: Hobart->Australia: Port Bonython,,150532016.42541012,31728519.153260417,2.9343652206995885,14.24571253027469,6.525026144670782,11.871104244841245,11.729841759740225,2.61124967267819,80.23902036090534,0.2333100560217284,1.450869806707819,180.47181069958847,9.334035712893701,957.6521074855332,965.8494338300013,53256202.218758866,0.0,4516200.0,204000.0,165839813.7092151,0.0,14478937.199999996,635256.0,180954006.90921512,192697987.4604189
6,Australia: Port Bonython,Australia: Port Pirie,nan,nan,-33.11,137.75,-33.17,138.01,2019-01-19 18:25:00,2019-01-19 21:35:00,Australia: Port Bonython->Australia: Port Pirie,,2669558.2949429424,1605921.3953809026,3.005467365029762,5.143657601046131,6.867049711309524,6.548943169512448,6.595996855958354,0.9988735170982143,39.837776441369044,-4.792022210676786,0.450154181547619,161.16517857142858,6.910756148443166,22.444286694749447,26.195772678049792,713420.5470530668,0.0,446550.0,166600.0,2221591.5835232497,0.0,1431639.2999999998,518792.39999999997,4172023.2835232494,3123087.2642652295
7,Australia: Port Pirie,Australia: Ardrossan,nan,nan,-33.17,138.01,-34.44,137.93,2019-01-25 23:05:00,2019-01-26 23:20:00,Australia: Port Pirie->Australia: Ardrossan,,46160173.03499744,10436720.409476932,3.1383089164242426,13.908637507145453,5.969966385536363,11.571276311540148,11.209954865981121,2.689246726739467,77.82815800368485,0.4357470792841515,2.257556977957576,209.749696969697,12.455551834256175,285.902169632273,294.62522889853767,15242948.029665122,0.0,1595100.0,163200.0,47466540.16437719,0.0,5113890.600000001,508204.8,53088635.564377196,62616918.90609592
8,Australia: Ardrossan,Australia: Whyalla,nan,nan,-34.44,137.93,-33.02,137.6,2019-01-28 21:45:00,2019-01-29 22:25:00,Australia: Ardrossan->Australia: Whyalla,,48028497.29188187,9589804.749510419,2.7735013573717953,13.953141717660257,9.543739616666667,10.614398565894161,10.788938227830833,2.689131667970032,77.3014764615705,0.7183899171125,0.6131097923076922,202.97115384615384,5.5912189914410355,271.0704720630696,280.55768542330134,16953891.945456207,0.0,1561950.0,166600.0,52794419.518150635,0.0,5007611.7,518792.39999999997,58320823.61815063,50815905.1303763
9,Australia: Whyalla,Australia: Port Stanvac,nan,nan,-33.02,137.6,-34.79,138.27,2019-02-07 05:00:00,2019-02-08 02:15:00,Australia: Whyalla->Australia: Port Stanvac,,51899631.95432887,8788625.00219375,2.9905149443181815,18.18168924656818,5.769653924431818,11.429518997724863,11.651357572773064,2.9324400019393937,82.92737268939395,-0.3690688144357576,2.3349086003787884,199.07575757575754,18.46802623120952,249.0042813667208,251.44941794994696,13014816.530959558,0.0,1277250.0,125800.0,40528138.67740806,0.0,4094863.500000001,391741.19999999995,45014743.37740806,65569386.74719108
